window_id,interim_path,start_sample,end_sample,label,label_name,dataset,source_clip_id,rms,split
18,data/interim/drone/saraalemadi/B_S2_D1_070-bebop.wav,0,16000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_070-bebop,,val
19,data/interim/drone/saraalemadi/B_S2_D1_070-bebop.wav,8000,24000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_070-bebop,,val
20,data/interim/drone/saraalemadi/B_S2_D1_070-bebop.wav,16000,32000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_070-bebop,,val
21,data/interim/drone/saraalemadi/B_S2_D1_070-bebop.wav,24000,40000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_070-bebop,,val
22,data/interim/drone/saraalemadi/B_S2_D1_070-bebop.wav,32000,48000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_070-bebop,,val
23,data/interim/drone/saraalemadi/B_S2_D1_070-bebop.wav,40000,56000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_070-bebop,,val
24,data/interim/drone/saraalemadi/B_S2_D1_070-bebop.wav,48000,64000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_070-bebop,,val
25,data/interim/drone/saraalemadi/B_S2_D1_070-bebop.wav,56000,72000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_070-bebop,,val
26,data/interim/drone/saraalemadi/B_S2_D1_070-bebop.wav,64000,79872,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_070-bebop,,val
27,data/interim/drone/saraalemadi/B_S2_D1_071-bebop.wav,0,16000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_071-bebop,,train
28,data/interim/drone/saraalemadi/B_S2_D1_071-bebop.wav,8000,24000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_071-bebop,,train
29,data/interim/drone/saraalemadi/B_S2_D1_071-bebop.wav,16000,32000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_071-bebop,,train
30,data/interim/drone/saraalemadi/B_S2_D1_071-bebop.wav,24000,40000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_071-bebop,,train
31,data/interim/drone/saraalemadi/B_S2_D1_071-bebop.wav,32000,48000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_071-bebop,,train
32,data/interim/drone/saraalemadi/B_S2_D1_071-bebop.wav,40000,56000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_071-bebop,,train
33,data/interim/drone/saraalemadi/B_S2_D1_071-bebop.wav,48000,64000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_071-bebop,,train
34,data/interim/drone/saraalemadi/B_S2_D1_071-bebop.wav,56000,72000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_071-bebop,,train
35,data/interim/drone/saraalemadi/B_S2_D1_071-bebop.wav,64000,79872,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_071-bebop,,train
36,data/interim/drone/saraalemadi/B_S2_D1_079-bebop.wav,0,16000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_079-bebop,,train
37,data/interim/drone/saraalemadi/B_S2_D1_079-bebop.wav,8000,24000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_079-bebop,,train
38,data/interim/drone/saraalemadi/B_S2_D1_079-bebop.wav,16000,32000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_079-bebop,,train
39,data/interim/drone/saraalemadi/B_S2_D1_079-bebop.wav,24000,40000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_079-bebop,,train
40,data/interim/drone/saraalemadi/B_S2_D1_079-bebop.wav,32000,48000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_079-bebop,,train
41,data/interim/drone/saraalemadi/B_S2_D1_079-bebop.wav,40000,56000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_079-bebop,,train
42,data/interim/drone/saraalemadi/B_S2_D1_079-bebop.wav,48000,64000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_079-bebop,,train
43,data/interim/drone/saraalemadi/B_S2_D1_079-bebop.wav,56000,72000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_079-bebop,,train
44,data/interim/drone/saraalemadi/B_S2_D1_079-bebop.wav,64000,79872,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_079-bebop,,train
45,data/interim/drone/saraalemadi/B_S2_D1_080-bebop.wav,0,16000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_080-bebop,,train
46,data/interim/drone/saraalemadi/B_S2_D1_080-bebop.wav,8000,24000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_080-bebop,,train
47,data/interim/drone/saraalemadi/B_S2_D1_080-bebop.wav,16000,32000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_080-bebop,,train
48,data/interim/drone/saraalemadi/B_S2_D1_080-bebop.wav,24000,40000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_080-bebop,,train
49,data/interim/drone/saraalemadi/B_S2_D1_080-bebop.wav,32000,48000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_080-bebop,,train
50,data/interim/drone/saraalemadi/B_S2_D1_080-bebop.wav,40000,56000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_080-bebop,,train
51,data/interim/drone/saraalemadi/B_S2_D1_080-bebop.wav,48000,64000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_080-bebop,,train
52,data/interim/drone/saraalemadi/B_S2_D1_080-bebop.wav,56000,72000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_080-bebop,,train
53,data/interim/drone/saraalemadi/B_S2_D1_080-bebop.wav,64000,80000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_080-bebop,,train
54,data/interim/drone/saraalemadi/B_S2_D1_080-bebop.wav,72000,81920,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_080-bebop,,train
55,data/interim/drone/saraalemadi/B_S2_D1_087-bebop.wav,0,16000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_087-bebop,,test
56,data/interim/drone/saraalemadi/B_S2_D1_087-bebop.wav,8000,24000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_087-bebop,,test
57,data/interim/drone/saraalemadi/B_S2_D1_087-bebop.wav,16000,32000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_087-bebop,,test
58,data/interim/drone/saraalemadi/B_S2_D1_087-bebop.wav,24000,40000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_087-bebop,,test
59,data/interim/drone/saraalemadi/B_S2_D1_087-bebop.wav,32000,48000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_087-bebop,,test
60,data/interim/drone/saraalemadi/B_S2_D1_087-bebop.wav,40000,56000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_087-bebop,,test
61,data/interim/drone/saraalemadi/B_S2_D1_087-bebop.wav,48000,64000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_087-bebop,,test
62,data/interim/drone/saraalemadi/B_S2_D1_087-bebop.wav,56000,72000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_087-bebop,,test
63,data/interim/drone/saraalemadi/B_S2_D1_087-bebop.wav,64000,79872,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_087-bebop,,test
64,data/interim/drone/saraalemadi/B_S2_D1_091-bebop.wav,0,16000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_091-bebop,,test
65,data/interim/drone/saraalemadi/B_S2_D1_091-bebop.wav,8000,24000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_091-bebop,,test
66,data/interim/drone/saraalemadi/B_S2_D1_091-bebop.wav,16000,32000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_091-bebop,,test
67,data/interim/drone/saraalemadi/B_S2_D1_091-bebop.wav,24000,40000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_091-bebop,,test
68,data/interim/drone/saraalemadi/B_S2_D1_091-bebop.wav,32000,48000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_091-bebop,,test
69,data/interim/drone/saraalemadi/B_S2_D1_091-bebop.wav,40000,56000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_091-bebop,,test
70,data/interim/drone/saraalemadi/B_S2_D1_091-bebop.wav,48000,64000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_091-bebop,,test
71,data/interim/drone/saraalemadi/B_S2_D1_091-bebop.wav,56000,72000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_091-bebop,,test
72,data/interim/drone/saraalemadi/B_S2_D1_091-bebop.wav,64000,79872,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_091-bebop,,test
73,data/interim/drone/saraalemadi/B_S2_D1_092-bebop.wav,0,16000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_092-bebop,,train
74,data/interim/drone/saraalemadi/B_S2_D1_092-bebop.wav,8000,24000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_092-bebop,,train
75,data/interim/drone/saraalemadi/B_S2_D1_092-bebop.wav,16000,32000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_092-bebop,,train
76,data/interim/drone/saraalemadi/B_S2_D1_092-bebop.wav,24000,40000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_092-bebop,,train
77,data/interim/drone/saraalemadi/B_S2_D1_092-bebop.wav,32000,48000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_092-bebop,,train
78,data/interim/drone/saraalemadi/B_S2_D1_092-bebop.wav,40000,56000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_092-bebop,,train
79,data/interim/drone/saraalemadi/B_S2_D1_092-bebop.wav,48000,64000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_092-bebop,,train
80,data/interim/drone/saraalemadi/B_S2_D1_092-bebop.wav,56000,72000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_092-bebop,,train
81,data/interim/drone/saraalemadi/B_S2_D1_092-bebop.wav,64000,79872,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_092-bebop,,train
82,data/interim/drone/saraalemadi/B_S2_D1_095-bebop.wav,0,16000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_095-bebop,,val
83,data/interim/drone/saraalemadi/B_S2_D1_095-bebop.wav,8000,24000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_095-bebop,,val
84,data/interim/drone/saraalemadi/B_S2_D1_095-bebop.wav,16000,32000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_095-bebop,,val
85,data/interim/drone/saraalemadi/B_S2_D1_095-bebop.wav,24000,40000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_095-bebop,,val
86,data/interim/drone/saraalemadi/B_S2_D1_095-bebop.wav,32000,48000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_095-bebop,,val
87,data/interim/drone/saraalemadi/B_S2_D1_095-bebop.wav,40000,56000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_095-bebop,,val
88,data/interim/drone/saraalemadi/B_S2_D1_095-bebop.wav,48000,64000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_095-bebop,,val
89,data/interim/drone/saraalemadi/B_S2_D1_095-bebop.wav,56000,72000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_095-bebop,,val
90,data/interim/drone/saraalemadi/B_S2_D1_095-bebop.wav,64000,79872,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_095-bebop,,val
91,data/interim/drone/saraalemadi/B_S2_D1_100-bebop.wav,0,16000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_100-bebop,,train
92,data/interim/drone/saraalemadi/B_S2_D1_100-bebop.wav,8000,24000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_100-bebop,,train
93,data/interim/drone/saraalemadi/B_S2_D1_100-bebop.wav,16000,32000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_100-bebop,,train
94,data/interim/drone/saraalemadi/B_S2_D1_100-bebop.wav,24000,40000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_100-bebop,,train
95,data/interim/drone/saraalemadi/B_S2_D1_100-bebop.wav,32000,48000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_100-bebop,,train
96,data/interim/drone/saraalemadi/B_S2_D1_100-bebop.wav,40000,56000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_100-bebop,,train
97,data/interim/drone/saraalemadi/B_S2_D1_100-bebop.wav,48000,64000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_100-bebop,,train
98,data/interim/drone/saraalemadi/B_S2_D1_100-bebop.wav,56000,72000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_100-bebop,,train
99,data/interim/drone/saraalemadi/B_S2_D1_100-bebop.wav,64000,79872,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_100-bebop,,train
100,data/interim/drone/saraalemadi/B_S2_D1_117-bebop.wav,0,16000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_117-bebop,,train
101,data/interim/drone/saraalemadi/B_S2_D1_117-bebop.wav,8000,24000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_117-bebop,,train
102,data/interim/drone/saraalemadi/B_S2_D1_117-bebop.wav,16000,32000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_117-bebop,,train
103,data/interim/drone/saraalemadi/B_S2_D1_117-bebop.wav,24000,40000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_117-bebop,,train
104,data/interim/drone/saraalemadi/B_S2_D1_117-bebop.wav,32000,48000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_117-bebop,,train
105,data/interim/drone/saraalemadi/B_S2_D1_117-bebop.wav,40000,56000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_117-bebop,,train
106,data/interim/drone/saraalemadi/B_S2_D1_117-bebop.wav,48000,64000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_117-bebop,,train
107,data/interim/drone/saraalemadi/B_S2_D1_117-bebop.wav,56000,72000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_117-bebop,,train
108,data/interim/drone/saraalemadi/B_S2_D1_117-bebop.wav,64000,79872,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_117-bebop,,train
109,data/interim/drone/saraalemadi/B_S2_D1_119-bebop.wav,0,16000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_119-bebop,,val
110,data/interim/drone/saraalemadi/B_S2_D1_119-bebop.wav,8000,24000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_119-bebop,,val
111,data/interim/drone/saraalemadi/B_S2_D1_119-bebop.wav,16000,32000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_119-bebop,,val
112,data/interim/drone/saraalemadi/B_S2_D1_119-bebop.wav,24000,40000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_119-bebop,,val
113,data/interim/drone/saraalemadi/B_S2_D1_119-bebop.wav,32000,48000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_119-bebop,,val
114,data/interim/drone/saraalemadi/B_S2_D1_119-bebop.wav,40000,56000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_119-bebop,,val
115,data/interim/drone/saraalemadi/B_S2_D1_119-bebop.wav,48000,64000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_119-bebop,,val
116,data/interim/drone/saraalemadi/B_S2_D1_119-bebop.wav,56000,72000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_119-bebop,,val
117,data/interim/drone/saraalemadi/B_S2_D1_119-bebop.wav,64000,79872,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_119-bebop,,val
118,data/interim/drone/saraalemadi/B_S2_D1_132-bebop.wav,0,16000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_132-bebop,,test
119,data/interim/drone/saraalemadi/B_S2_D1_132-bebop.wav,8000,24000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_132-bebop,,test
120,data/interim/drone/saraalemadi/B_S2_D1_132-bebop.wav,16000,32000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_132-bebop,,test
121,data/interim/drone/saraalemadi/B_S2_D1_132-bebop.wav,24000,40000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_132-bebop,,test
122,data/interim/drone/saraalemadi/B_S2_D1_132-bebop.wav,32000,48000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_132-bebop,,test
123,data/interim/drone/saraalemadi/B_S2_D1_132-bebop.wav,40000,56000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_132-bebop,,test
124,data/interim/drone/saraalemadi/B_S2_D1_132-bebop.wav,48000,64000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_132-bebop,,test
125,data/interim/drone/saraalemadi/B_S2_D1_132-bebop.wav,56000,72000,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_132-bebop,,test
126,data/interim/drone/saraalemadi/B_S2_D1_132-bebop.wav,64000,79872,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_132-bebop,,test
127,data/interim/drone/saraalemadi/B_S2_D1_133-bebop.wav,0,12352,1,drone,saraalemadi,drone/saraalemadi/B_S2_D1_133-bebop,,train
128,data/interim/drone/saraalemadi/Membo_0_003-membo.wav,0,16000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_003-membo,,train
129,data/interim/drone/saraalemadi/Membo_0_003-membo.wav,8000,24000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_003-membo,,train
130,data/interim/drone/saraalemadi/Membo_0_003-membo.wav,16000,32000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_003-membo,,train
131,data/interim/drone/saraalemadi/Membo_0_003-membo.wav,24000,40000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_003-membo,,train
132,data/interim/drone/saraalemadi/Membo_0_003-membo.wav,32000,48000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_003-membo,,train
133,data/interim/drone/saraalemadi/Membo_0_003-membo.wav,40000,56000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_003-membo,,train
134,data/interim/drone/saraalemadi/Membo_0_003-membo.wav,48000,64000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_003-membo,,train
135,data/interim/drone/saraalemadi/Membo_0_003-membo.wav,56000,72000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_003-membo,,train
136,data/interim/drone/saraalemadi/Membo_0_003-membo.wav,64000,79872,1,drone,saraalemadi,drone/saraalemadi/Membo_0_003-membo,,train
137,data/interim/drone/saraalemadi/Membo_0_006-membo.wav,0,16000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_006-membo,,test
138,data/interim/drone/saraalemadi/Membo_0_006-membo.wav,8000,24000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_006-membo,,test
139,data/interim/drone/saraalemadi/Membo_0_006-membo.wav,16000,32000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_006-membo,,test
140,data/interim/drone/saraalemadi/Membo_0_006-membo.wav,24000,40000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_006-membo,,test
141,data/interim/drone/saraalemadi/Membo_0_006-membo.wav,32000,48000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_006-membo,,test
142,data/interim/drone/saraalemadi/Membo_0_006-membo.wav,40000,56000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_006-membo,,test
143,data/interim/drone/saraalemadi/Membo_0_006-membo.wav,48000,64000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_006-membo,,test
144,data/interim/drone/saraalemadi/Membo_0_006-membo.wav,56000,72000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_006-membo,,test
145,data/interim/drone/saraalemadi/Membo_0_006-membo.wav,64000,79872,1,drone,saraalemadi,drone/saraalemadi/Membo_0_006-membo,,test
146,data/interim/drone/saraalemadi/Membo_0_010-membo.wav,0,16000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_010-membo,,train
147,data/interim/drone/saraalemadi/Membo_0_010-membo.wav,8000,24000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_010-membo,,train
148,data/interim/drone/saraalemadi/Membo_0_010-membo.wav,16000,32000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_010-membo,,train
149,data/interim/drone/saraalemadi/Membo_0_010-membo.wav,24000,40000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_010-membo,,train
150,data/interim/drone/saraalemadi/Membo_0_010-membo.wav,32000,48000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_010-membo,,train
151,data/interim/drone/saraalemadi/Membo_0_010-membo.wav,40000,56000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_010-membo,,train
152,data/interim/drone/saraalemadi/Membo_0_010-membo.wav,48000,64000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_010-membo,,train
153,data/interim/drone/saraalemadi/Membo_0_010-membo.wav,56000,72000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_010-membo,,train
154,data/interim/drone/saraalemadi/Membo_0_010-membo.wav,64000,79872,1,drone,saraalemadi,drone/saraalemadi/Membo_0_010-membo,,train
155,data/interim/drone/saraalemadi/Membo_0_015-membo.wav,0,16000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_015-membo,,train
156,data/interim/drone/saraalemadi/Membo_0_015-membo.wav,8000,24000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_015-membo,,train
157,data/interim/drone/saraalemadi/Membo_0_015-membo.wav,16000,32000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_015-membo,,train
158,data/interim/drone/saraalemadi/Membo_0_015-membo.wav,24000,40000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_015-membo,,train
159,data/interim/drone/saraalemadi/Membo_0_015-membo.wav,32000,48000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_015-membo,,train
160,data/interim/drone/saraalemadi/Membo_0_015-membo.wav,40000,56000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_015-membo,,train
161,data/interim/drone/saraalemadi/Membo_0_015-membo.wav,48000,64000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_015-membo,,train
162,data/interim/drone/saraalemadi/Membo_0_015-membo.wav,56000,72000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_015-membo,,train
163,data/interim/drone/saraalemadi/Membo_0_015-membo.wav,64000,79872,1,drone,saraalemadi,drone/saraalemadi/Membo_0_015-membo,,train
164,data/interim/drone/saraalemadi/Membo_0_016-membo.wav,0,16000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_016-membo,,train
165,data/interim/drone/saraalemadi/Membo_0_016-membo.wav,8000,24000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_016-membo,,train
166,data/interim/drone/saraalemadi/Membo_0_016-membo.wav,16000,32000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_016-membo,,train
167,data/interim/drone/saraalemadi/Membo_0_016-membo.wav,24000,40000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_016-membo,,train
168,data/interim/drone/saraalemadi/Membo_0_016-membo.wav,32000,48000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_016-membo,,train
169,data/interim/drone/saraalemadi/Membo_0_016-membo.wav,40000,56000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_016-membo,,train
170,data/interim/drone/saraalemadi/Membo_0_016-membo.wav,48000,64000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_016-membo,,train
171,data/interim/drone/saraalemadi/Membo_0_016-membo.wav,56000,72000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_016-membo,,train
172,data/interim/drone/saraalemadi/Membo_0_016-membo.wav,64000,80000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_016-membo,,train
173,data/interim/drone/saraalemadi/Membo_0_016-membo.wav,72000,81920,1,drone,saraalemadi,drone/saraalemadi/Membo_0_016-membo,,train
174,data/interim/drone/saraalemadi/Membo_0_036-membo.wav,0,16000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_036-membo,,train
175,data/interim/drone/saraalemadi/Membo_0_036-membo.wav,8000,24000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_036-membo,,train
176,data/interim/drone/saraalemadi/Membo_0_036-membo.wav,16000,32000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_036-membo,,train
177,data/interim/drone/saraalemadi/Membo_0_036-membo.wav,24000,40000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_036-membo,,train
178,data/interim/drone/saraalemadi/Membo_0_036-membo.wav,32000,48000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_036-membo,,train
179,data/interim/drone/saraalemadi/Membo_0_036-membo.wav,40000,56000,1,drone,saraalemadi,drone/saraalemadi/Membo_0_036-membo,,train
